Date,Open,High,Low,Close,Adj Close,Volume,ticker
2007-01-03,30.399999618530273,32.70000076293945,30.399999618530273,32.099998474121094,32.099998474121094,690,INVE
2007-01-04,30.899999618530273,32.20000076293945,30.899999618530273,31.799999237060547,31.799999237060547,2030,INVE
2007-01-05,32.099998474121094,32.5,32.099998474121094,32.20000076293945,32.20000076293945,830,INVE
2007-01-08,31.299999237060547,32.79999923706055,31.299999237060547,32.70000076293945,32.70000076293945,290,INVE
2007-01-09,32.599998474121094,33.0,31.899999618530273,33.0,33.0,990,INVE
2007-01-10,32.20000076293945,32.20000076293945,31.5,31.5,31.5,980,INVE
2007-01-11,31.299999237060547,31.399999618530273,31.200000762939453,31.200000762939453,31.200000762939453,90,INVE
2007-01-12,31.0,31.399999618530273,29.700000762939453,29.700000762939453,29.700000762939453,660,INVE
2007-01-16,30.0,31.0,30.0,30.799999237060547,30.799999237060547,2390,INVE
2007-01-17,30.799999237060547,32.099998474121094,30.799999237060547,31.5,31.5,1690,INVE
2007-01-18,31.600000381469727,34.599998474121094,31.100000381469727,33.29999923706055,33.29999923706055,5100,INVE
2007-01-19,32.599998474121094,33.400001525878906,32.29999923706055,32.29999923706055,32.29999923706055,1600,INVE
2007-01-22,31.0,33.29999923706055,31.0,33.29999923706055,33.29999923706055,940,INVE
2007-01-23,33.099998474121094,33.099998474121094,32.70000076293945,32.70000076293945,32.70000076293945,130,INVE
2007-01-24,32.599998474121094,32.70000076293945,31.799999237060547,31.799999237060547,31.799999237060547,1830,INVE
2007-01-25,31.700000762939453,32.599998474121094,31.5,32.599998474121094,32.599998474121094,190,INVE
2007-01-26,32.5,32.5,31.0,32.099998474121094,32.099998474121094,1430,INVE
2007-01-29,32.0,32.5,32.0,32.400001525878906,32.400001525878906,360,INVE
2007-01-30,31.899999618530273,32.0,31.899999618530273,32.0,32.0,40,INVE
2007-01-31,32.099998474121094,32.5,32.099998474121094,32.5,32.5,140,INVE
2007-02-01,32.400001525878906,32.5,32.099998474121094,32.20000076293945,32.20000076293945,90,INVE
2007-02-02,32.099998474121094,32.400001525878906,32.099998474121094,32.400001525878906,32.400001525878906,480,INVE
2007-02-05,32.099998474121094,32.20000076293945,32.099998474121094,32.099998474121094,32.099998474121094,470,INVE
2007-02-06,31.899999618530273,32.5,31.799999237060547,32.5,32.5,280,INVE
2007-02-07,35.20000076293945,40.900001525878906,32.599998474121094,39.70000076293945,39.70000076293945,27550,INVE
2007-02-08,38.5,42.5,37.900001525878906,41.599998474121094,41.599998474121094,16700,INVE
2007-02-09,41.5,41.599998474121094,40.5,40.5,40.5,4550,INVE
2007-02-12,40.29999923706055,40.70000076293945,38.70000076293945,39.5,39.5,10090,INVE
2007-02-13,38.79999923706055,41.0,38.79999923706055,39.900001525878906,39.900001525878906,2420,INVE
2007-02-14,41.099998474121094,43.099998474121094,39.79999923706055,40.20000076293945,40.20000076293945,35410,INVE
2007-02-15,40.5,42.400001525878906,40.5,41.79999923706055,41.79999923706055,1850,INVE
2007-02-16,41.900001525878906,43.400001525878906,41.900001525878906,43.099998474121094,43.099998474121094,5400,INVE
2007-02-20,43.20000076293945,44.0,42.900001525878906,43.29999923706055,43.29999923706055,1830,INVE
2007-02-21,42.900001525878906,42.900001525878906,41.599998474121094,42.0,42.0,4480,INVE
2007-02-22,40.5,42.29999923706055,40.5,41.5,41.5,4110,INVE
2007-02-23,41.70000076293945,42.0,41.5,41.900001525878906,41.900001525878906,1150,INVE
2007-02-26,41.599998474121094,42.70000076293945,41.0,41.599998474121094,41.599998474121094,4850,INVE
2007-02-27,40.900001525878906,41.20000076293945,40.20000076293945,41.0,41.0,2880,INVE
2007-02-28,40.70000076293945,41.5,39.29999923706055,40.20000076293945,40.20000076293945,3750,INVE
2007-03-01,40.29999923706055,41.5,40.20000076293945,41.5,41.5,1270,INVE
2007-03-02,40.900001525878906,40.900001525878906,39.5,39.5,39.5,620,INVE
2007-03-05,38.5,38.79999923706055,37.29999923706055,37.29999923706055,37.29999923706055,1250,INVE
2007-03-06,36.099998474121094,38.5,36.099998474121094,37.599998474121094,37.599998474121094,1060,INVE
2007-03-07,38.20000076293945,39.099998474121094,38.20000076293945,39.099998474121094,39.099998474121094,630,INVE
2007-03-08,39.5,41.79999923706055,39.5,41.29999923706055,41.29999923706055,1180,INVE
2007-03-09,41.900001525878906,42.599998474121094,41.900001525878906,42.0,42.0,1520,INVE
2007-03-12,42.29999923706055,42.900001525878906,42.29999923706055,42.900001525878906,42.900001525878906,1630,INVE
2007-03-13,42.70000076293945,42.70000076293945,41.20000076293945,41.20000076293945,41.20000076293945,1860,INVE
2007-03-14,41.0,41.0,40.0,40.5,40.5,1120,INVE
2007-03-15,41.0,41.400001525878906,40.79999923706055,41.400001525878906,41.400001525878906,570,INVE
2007-03-16,41.400001525878906,42.0,41.400001525878906,42.0,42.0,80,INVE
2007-03-19,41.5,42.0,41.5,41.900001525878906,41.900001525878906,510,INVE
2007-03-20,42.20000076293945,43.79999923706055,41.099998474121094,42.400001525878906,42.400001525878906,1980,INVE
2007-03-21,43.70000076293945,43.70000076293945,40.5,41.599998474121094,41.599998474121094,1200,INVE
2007-03-22,41.29999923706055,43.599998474121094,41.29999923706055,43.20000076293945,43.20000076293945,2770,INVE
2007-03-23,43.099998474121094,43.5,43.099998474121094,43.400001525878906,43.400001525878906,90,INVE
2007-03-26,42.099998474121094,43.099998474121094,42.099998474121094,43.0,43.0,370,INVE
2007-03-27,42.599998474121094,43.20000076293945,42.5,42.70000076293945,42.70000076293945,310,INVE
2007-03-28,42.5,42.900001525878906,42.5,42.900001525878906,42.900001525878906,470,INVE
2007-03-29,43.0,43.29999923706055,41.79999923706055,41.79999923706055,41.79999923706055,510,INVE
2007-03-30,41.599998474121094,44.400001525878906,41.599998474121094,42.79999923706055,42.79999923706055,1050,INVE
2007-04-02,43.20000076293945,44.0,42.79999923706055,43.900001525878906,43.900001525878906,210,INVE
2007-04-03,44.0,44.099998474121094,43.400001525878906,43.79999923706055,43.79999923706055,780,INVE
