Date,Open,High,Low,Close,Volume
2012-04-27,7.42416387902781,7.427877902984619,7.420449855071001,7.427877902984619,27000
2012-04-30,7.42416387902781,7.427877902984619,7.420449855071001,7.427877902984619,42400
2012-05-01,7.427878436533423,7.450161873497271,7.4241644123098345,7.446447849273682,17000
2012-05-02,7.446452668029348,7.676717360257178,7.427883243272426,7.557871341705322,93000
2012-05-03,7.517012352815118,7.517012352815118,7.420449855071001,7.427877902984619,79000
2012-05-04,7.442734419492804,7.539296214317183,7.409308910369873,7.409308910369873,65800
2012-05-07,7.409309322665954,7.427878736155256,7.409309322665954,7.420450687408447,14000
2012-05-08,7.420449855071001,7.5095843049015,7.420449855071001,7.427877902984619,24500
2012-05-09,7.409309858680264,7.439021347439205,7.3833116861856425,7.42416524887085,21000
2012-05-10,7.424161887751378,7.609858785519179,7.409306504286227,7.5392937660217285,23900
2012-05-11,7.483585946327705,7.49844204036978,7.431591033935547,7.431591033935547,22000
2012-05-14,7.465018271511575,7.465018271511575,7.420450687408448,7.420450687408447,3000
2012-05-15,7.524440400728736,7.524440400728736,7.409308491578213,7.427877902984619,12000
2012-05-16,7.483589486859727,7.483589486859727,7.409311106640453,7.442736625671387,4300
2012-05-17,7.427878436533423,7.446447849273682,7.427878436533423,7.446447849273682,2700
2012-05-18,7.41302222615893,7.494729341071728,7.409308910369873,7.409308910369873,11500
2012-05-21,7.502160709541255,7.502160709541255,7.249612621457745,7.405598163604736,15100
2012-05-22,7.390742466918389,7.4167399406433105,7.390742466918389,7.4167399406433105,28300
2012-05-23,7.409308910369873,7.4167362503256635,7.409308910369873,7.409308910369873,21000
2012-05-24,7.409313224485725,7.41674056876613,7.320178009339958,7.364745616912842,71500
2012-05-25,7.387024765369468,7.4167362503256635,7.383310741202733,7.409308910369873,45100
2012-05-29,7.517013739789761,7.52072776443185,7.39073973546982,7.42416524887085,6900
2012-05-30,7.3944525718688965,7.398166595914165,7.372169135974945,7.3944525718688965,62000
2012-05-31,7.390738371794169,7.427877902984619,7.372168960387762,7.427877902984619,30800
2012-06-01,7.409308491578213,7.427877902984619,7.372168960387762,7.427877902984619,35000
2012-06-04,7.409309322665954,7.420450687408448,7.398167249545743,7.420450687408447,25800
2012-06-05,7.353599915773758,7.353599915773758,7.130764112805501,7.227325916290283,182000
2012-06-06,7.234756051943609,7.25704020536984,7.193903187418078,7.238470077514648,29100
2012-06-07,6.933927247940854,7.238470269044766,6.933927247940854,7.205044746398926,42500
2012-06-08,7.205043022583315,7.223613146486947,7.167903483153844,7.17161750793457,39300
2012-06-11,7.208759077271009,7.208759077271009,6.777941998682524,7.056487560272217,44300
2012-06-12,7.052770082434923,7.242181056613202,6.978491727393684,7.093623638153076,15500
2012-06-13,7.082484805802359,7.082484805802359,6.9005017963986965,7.02677583694458,14000
2012-06-14,6.8967894927909645,6.926500997492485,6.815083031956322,6.893075466156006,11100
2012-06-15,7.000774780499874,7.0416276256079104,6.7333707335067166,6.83364725112915,18200
2012-06-18,6.796508985561654,6.796508985561654,6.540247670700196,6.629382133483887,45200
2012-06-19,6.6330942720658665,6.848502672976193,6.6330942720658665,6.7630815505981445,29900
2012-06-20,6.763084612796069,6.815080256129172,6.621955200041326,6.699948310852051,9700
2012-06-21,6.785369378579056,6.785369378579056,6.633097876655254,6.662809371948242,18800
2012-06-22,6.685095367959954,6.766801834107759,6.647955807573426,6.688809394836426,20800
2012-06-25,6.718514002800265,6.755653525051381,6.432540602357381,6.458538055419922,53300
2012-06-26,6.458542951594196,6.581102972070507,6.447401582336898,6.451115608215332,50500
2012-06-27,6.543963352701901,6.614527710875983,6.514251857581782,6.599672317504883,20600
2012-06-28,6.592241129410875,6.7482265816531655,6.577385034731808,6.744512557983398,26400
2012-06-29,6.722229551293252,6.948779342517283,6.722229551293252,6.919067859649658,32600
2012-07-02,6.77794149115279,6.915357602933689,6.77794149115279,6.870790004730225,14500
2012-07-03,6.915356510078342,6.93392592650807,6.815079961251022,6.922783851623535,5300
2012-07-05,7.037913542221455,7.06019697424684,6.89678348651311,6.963634490966797,18100
2012-07-06,6.930212470199065,7.034203052520753,6.930212470199065,7.034203052520752,700
2012-07-09,7.0304881440939315,7.034202168893643,6.952495040055583,6.9784932136535645,4100
2012-07-10,7.026773095958897,7.052770557392972,6.911641177446122,6.930210590362549,14700
2012-07-11,7.009016491253575,7.009016491253575,6.762753894194806,6.770331382751465,14100
2012-07-12,6.777909553848912,7.0090179443359375,6.7400235484694,7.0090179443359375,15000
2012-07-13,6.971129468452085,7.00901618696147,6.804428340588218,6.8574700355529785,19700
2012-07-16,6.777906721713762,7.080999696507667,6.777906721713762,7.016592502593994,19500
